"title","avgsalaries"
"Police Captain",307152.0933333333
"Captain/Academy Instructor",301338.78
"Police Sergeant/Hdq Dispatcher",295751.94
"Police Captain-DDC/HRCD",295133.21
"Supn-In Chief",287382.57
"Police Lieut (Det)",277118.63
"Police Captain/DDC",270888.28722222225
"Commissioner (Bpd)",259615.26
"Police Captain (Det)",253711.652
"Police Lieut/Paid Detail Ser",249231.4
"Captain/Supv of Court Cases",241868.77
"Police Sergeant/Bomb Squad",239354.08
"Supn Bpd",237635.03733333334
"Police Lieutenant (Det)",226934.43166666667
"Dep Supn (Bpd)",221497.3992857143
"Police Sergeant/Mobile Oper",214829.54666666666
"Police Lieutenant",213724.57152542373
"Police Sergeant (Det)",209251.16335820896
"Police Lieutenant/Mobile Oper",205921.53
"Police Captain/Hackney Invest",197112.15
"Sergeant/Harbor Patrol",194893.81
"Police Lieutenant/Hdq Dispatch",191919.36333333334
"Dir-Signal Service (Bpd)",181111.89
"Police Sergeant/CHF RADIO DISP",178928.44846153847
"Prin Dp Sys Anal-Dp",177986.84
"Police Sergeant",174448.4709493671
"Building Systems Engineer",172709.86
"Police Sergeant/FgrPrt Ev Tech",172694.16
"Data Proc Svcs Director(Bpd)",168657.71
"Police Detective",168338.16313664598
"Police Sergeant/Comm Serv Offc",166318.94923076924
"Police Sergeant/AcadInstructor",163699.135
"Police Officer Harborboat 3$8",161955.1225
"Police Offc/Hosp Liaison 4$10",160960.625
"Police Offc Acad Instr 2$6",158673.9644
"Police Offc Canine Offc 2$6",157690.23888888888
"Police Offc/FgrPrt Ev Tch 4$10",157478.1508
"Police Offc/Auto Invest 4$10",156310.72692307693
"Police Offc Harborboat 3$8",156083.43181818182
"Police Offc Breath $13.50",156029.01
"Police Offc Comm Serv Offc 3$8",155547.08727272728
"Police Offc Mobile Offc 2$6",153580.89571428573
"Exec Asst (BPD)",153449.145
"Police Officer Hdq Dispatch",152114.96235294116
"Police Officer Mobile Oper 2$6",149623.34
"Supn-Custodians (Buildings)",148779.89
"Police Offc Canine 2$6",145575.4452631579
"Police Offc Ballistician 4$10",144489.66
"Police Offc/Juvenile Offc 4$10",144429.765
"Dir-Transportation (Bpd)/(Bfd)",143228.65
"Dep Dir Chief Financial Offcr",143227.45
"Police Officer",141932.94116627265
"Radio Supv (Bpd)",140974.96
"Supv Graphic Arts Svc (BPD)",140318.15
"PoliceSergeant/SupvCourtCases",135978.265
"Police Offc/Bomb Squad",135189.77181818182
"Store Control Supv(Bpd Fleet)",135092.96
"Dir of Latent Print Unit (BPD)",134954.51
"Dir-Forensic Quality Control",132796.56
"Director of Projects & Initiat",132791.19
"Dir-Public Info (Police)",132491.12
"Dir/OfficeofResearch&DeveloBPD",130037.57
"Sr Data Proc Sys Anl (ASD/DPU)",128501.23
"Dir-Crimalistic Services(Bpd)",127699.02
"Police Offc Hackney Invest 3$8",125901.09
"Supv-Payrolls",123617.88
"Building Maint Supv",122537.93
"Distance Learning Coord ARRA",122277.9
"Supn Auto Maint(Bpdfleet)",121890.67
"Criminalist IV",120548.73625
"Sr Data Proc Sys Anl",120180.33
"IAPRO Systems Coordinator",119099.85
"Staff Asst (Administration)",117535.79
"Head Trainer",116864.05
"Dir of Quality Assurance (BPD)",116408.76
"Police Offc Bomb Squad",115166.72857142857
"Signalperson-Electrician",115113.89666666667
"Police Sergeant/Pd Det Serv",113697.116
"AssocDir,BPDOfficeofReas&Devel",113430.23
"Lab Informatioin Mgmt Admn BPD",112921.8
"Prin Admin Asst",112689.61875
